xc,yc,offset,W,S0,hc,Reach,stage,IsActive,ID,zx1,zy1,z1,zx2,zy2,z2
264035.236,3883386.632,450,80,0.03,35,947,green,1,1,263841.909,3883490.824,665,263969.328,3883313.209,690
266212.496,3881100.634,170,30,0.11,10,461,green,1,2,266165.811,3881147.207,724,266218.499,3881066.148,734
268181.69,3879306.406,270,50,0.07,7,523,yellow,1,3,268049.796,3879380.953,760,268139.588,3879304.579,767
268662.946,3878871.361,6,16,0.12,4,323,green,1,4,268664.954,3878871.234,781,268661.349,3878865.134,785
269045.714,3878680.476,500,120,0.08,11,222,yellow,1,5,268784.208,3878788.756,798,268861.584,3878720.591,787
269091.9,3878571.07,170,35,0.09,9,212,green,1,6,269001.935,3878607.064,793,269057.504,3878560.354,802
269131.441,3878501.385,180,30,0.065,7,247,green,1,7,269062.09,3878539.522,793,269110.927,3878496.249,801
269276.698,3878388.401,20,15,0.09,4,271,green,1,8,269277.503,3878386.287,806,269260.926,3878394.576,810
269506.465,3878169.848,35,8,0.07,2,372,green,1,9,269485.409,3878177.241,809,269495.914,3878166.582,811
268590.168,3878926.639,110,20,0.1,5,362,green,1,10,268552.287,3878942.76,775,268585.69,3878921.504,780
268469.139,3879022.564,7,10,0.09,1.5,392,green,1,11,268468.783,3879022.489,770,268466.346,3879017.383,771.5
261968.713,3885441.084,25,9,0.05,1.2,500,green,1,12,261956.714,3885443.305,636.2,261962.304,3885437.528,637.4
263091.981,3884287.233,265,35,0.03,20,5675,green,1,13,262981.764,3884362.827,645,263050.47,3884252.709,665
242923.374,3906597.344,128,24,0.033,4.5,4400,green,1,14,242872.054,3906639.844,645,242909.295,3906585.56,658.5
243288.492,3906156.268,1,28,0.07,0.3,669,yellow,1,15,NaN,NaN,NaN,NaN,NaN,NaN
243998.384,3905253.618,18,4,0.036,2,2039,green,1,16,243990.798,3905257.786,644,243993.495,3905249.855,646
244033.281,3905209.741,17,5,0.035,5.5,3138,green,1,17,244021.702,3905212.913,640,244028.84,3905200.065,645.5
244551.126,3904536.725,1,3,0.035,0.7,5500,yellow,1,18,244545.578,3904534.874,639.4,244551.699,3904530.793,640.1
244867.56,3904143.591,0,3,0.038,1.5,5701,yellow,1,19,NaN,NaN,NaN,NaN,NaN,NaN
246312.281,3902390.09,21,15,0.022,2.5,1710,green,1,20,246296.497,3902391.521,609.5,246299.549,3902383.893,612
251753.186,3895940.857,27,10,0.026,1.3,1314,green,1,21,251743.317,3895948.753,618.9,251748.75,3895937.414,620.2
251873.483,3895838.384,19,28,0.028,4,4681,green,1,22,251855.482,3895833.341,621,251868.168,3895821.126,625
252565.163,3895032.303,12,7,0.07,1.4,227,green,1,23,252557.298,3895034.278,622,252562.192,3895026.774,623.4
252452.09,3895162.91,37,36,0.024,2.1,4698,green,1,24,252424.591,3895162.14,618.6,252435.363,3895149.027,620.7
253435.839,3894089.27,248,50,0.028,14.4,2845,green,1,25,253344.204,3894149.49,615,253429.035,3894049.976,629
253653.177,3893855.571,52,13,0.055,15.6,415,green,1,26,253625.735,3893870.866,602.5,253636.081,3893824.534,617.1
