xc,yc,offset,W,S0,hc,Reach,stage,IsActive
264035.236,3883386.632,450,80,0.03,35,947,green,1
266212.496,3881100.634,170,30,0.11,10,461,green,1
268181.69,3879306.406,270,50,0.07,7,523,yellow,1
268686.959,3878881.231,6,16,0.12,4,323,green,1
269045.714,3878680.476,500,120,0.08,11,222,yellow,1
269091.9,3878571.07,170,35,0.09,9,212,green,1
269131.441,3878501.385,180,30,0.065,7,247,green,1
269276.698,3878388.401,20,15,0.09,4,271,green,1
269506.465,3878169.848,35,8,0.07,2,372,green,1
268590.168,3878926.639,110,20,0.1,5,362,green,1
268469.139,3879022.564,7,10,0.09,1.5,392,green,1
261968.713,3885441.084,25,9,0.05,1.2,500,green,1
263091.981,3884287.233,265,35,0.03,20,5675,green,1
242923.374,3906597.344,128,24,0.033,4.5,4400,green,1
243288.492,3906156.268,1,28,0.07,0.3,669,yellow,1
243998.384,3905253.618,18,4,0.036,2,2039,green,1
244033.281,3905209.741,17,5,0.035,5.5,3138,green,1
244551.126,3904536.725,1,3,0.035,0.7,5500,yellow,1
244867.56,3904143.591,0,3,0.038,1.5,5701,yellow,1
246312.281,3902390.09,21,15,0.022,2.5,1710,green,1
251741.189,3896033.181,27,10,0.026,1.3,1314,green,1
251873.483,3895838.384,19,28,0.028,4.2,4681,green,1
252565.163,3895032.303,12,7,0.07,1.4,227,green,1
252452.09,3895162.91,37,36,0.024,2.1,4698,green,1
253388.468,3894213.228,248,50,0.028,14.4,2845,green,1
253653.177,3893855.571,52,13,0.055,15.6,415,green,1
253648.288,3893850.165,220,24,0.024,20,1285,green,1
253833.471,3893680.193,309,25,0.025,19,1839,green,1
254146.844,3893354.785,110,39,0.07,8,285,green,1
254261.828,3893220.142,16,3,0.09,2,214,green,1
256671.514,3890936.004,467,26,0.027,17,5429,green,1
257787.387,3889888.799,919,28,0.021,25,5694,green,1
258880.311,3888797.033,26,6,0.04,5,1350,green,1
259084.857,3888570.917,44,12,0.028,4.5,5637,green,1
259496.239,3888179.399,770,34,0.02,19,4863,green,1
261154.274,3886848.018,2850,316,0.02,80,5300,green,1
261948.287,3885485.162,600,24,0.11,10,519,yellow,0
267217.817,3880050.515,300,18,0.05,7,902,yellow,0
268218.617,3879311.568,580,80,0.075,14,517,red,0
268690.891,3878880.988,210,70,0.09,4.75,320,yellow,0
269062.675,3878568.696,320,40,0.08,5.5,250,red,0
268268.769,3879217.539,60,24,0.14,2,170,yellow,0
268281.283,3879185.793,107,12,0.14,3.5,220,red,0
263340.806,3884050.491,630,60,0.08,6.7,443,yellow,0
262194.584,3885227.681,300,40,0.11,7,462,yellow,0
258898.384,3888816.83,2440,50,0.05,17,868,yellow,0
253387.976,3894220.301,842,80,0.022,9,3798,yellow,0
242926.523,3906594.788,364,20,0.033,4.5,4317,red,0
243295.633,3906164.401,81,22,0.07,0.1,665,red,0
243998.286,3905253.586,800,2,0.04,4,1357,red,0
254146.958,3893355.418,350,36,0.06,4.2,281,red,0
252564.239,3895031.834,192,4,0.08,5.5,228,yellow,0
252311.425,3895317.29,127,6,0.05,0.5,1126,red,0
253610.081,3893985.284,396,50,0.028,11,386,yellow,0
271561.472,3876361.617,87,14,0.15,5.5,279,red,0
263672.945,3883606.21,155,33,0.14,6,196,yellow,0
243998.511,3905252.987,120,6,0.04,1.7,2072,red,0
244555.862,3904538.595,100,16,0.046,0.6,7401,red,0
251744.771,3896039.126,418,74,0.042,3.7,1320,yellow,0
