xc,yc,offset,W,S0,hc,Reach,stage,IsActive,ZielkeBSSA,ID,zx1,zy1,z1,zx2,zy2,z2
264035.235999999975320,3883386.632000000216067,"450","80",0.030000000000000,35.000000000000000,"947",green,"1",,"1",263841.909,3883490.824,665.000,263969.328,3883313.209,690.000
266212.495999999984633,3881100.634000000078231,"170","30",0.110000000000000,10.000000000000000,"461",green,"1",,"2",266165.811,3881147.207,724.000,266218.499,3881066.148,734.000
268181.690000000002328,3879306.405999999959022,"270","50",0.070000000000000,7.000000000000000,"523",yellow,"1",,"3",268049.796,3879380.953,760.000,268139.588,3879304.579,767.000
268662.945999999996275,3878871.361000000033528,"6","16",0.120000000000000,4.000000000000000,"323",green,"1",,"4",268664.954,3878871.234,781.000,268661.349,3878865.134,785.000
269045.713999999978114,3878680.475999999791384,"500","120",0.080000000000000,11.000000000000000,"222",yellow,"1",,"5",268784.208,3878788.756,798.000,268861.584,3878720.591,787.000
269091.900000000023283,3878571.069999999832362,"170","35",0.090000000000000,9.000000000000000,"212",green,"1",,"6",269001.935,3878607.064,793.000,269057.504,3878560.354,802.000
269131.440999999991618,3878501.384999999776483,"180","30",0.065000000000000,7.000000000000000,"247",green,"1",,"7",269062.090,3878539.522,793.000,269110.927,3878496.249,801.000
269276.697999999974854,3878388.401000000070781,"20","15",0.090000000000000,4.000000000000000,"271",green,"1",13.00,"8",269277.503,3878386.287,806.000,269260.926,3878394.576,810.000
269506.465000000025611,3878169.848000000230968,"35","8",0.070000000000000,2.000000000000000,"372",green,"1",18.90,"9",269485.409,3878177.241,809.000,269495.914,3878166.582,811.000
268590.168000000005122,3878926.638999999966472,"110","20",0.100000000000000,5.000000000000000,"362",green,"1",,"10",268552.287,3878942.760,775.000,268585.690,3878921.504,780.000
268469.139000000024680,3879022.563999999780208,"7","10",0.090000000000000,1.500000000000000,"392",green,"1",,"11",268468.783,3879022.489,770.000,268466.346,3879017.383,771.500
261968.712999999988824,3885441.083999999798834,"25","9",0.050000000000000,1.200000000000000,"500",green,"1",,"12",261956.714,3885443.305,636.200,261962.304,3885437.528,637.400
263091.981000000028871,3884287.233000000007451,"265","35",0.030000000000000,20.000000000000000,"5675",green,"1",,"13",262981.764,3884362.827,645.000,263050.470,3884252.709,665.000
242923.374000000010710,3906597.344000000040978,"128","24",0.033000000000000,4.500000000000000,"4400",green,"1",,"14",242872.054,3906639.844,645.000,242909.295,3906585.560,658.500
243288.491999999998370,3906156.268000000156462,"1","28",0.070000000000000,0.300000000000000,"669",yellow,"1",8.30,"15",,,,,,
